,AIRPORTS,MONTH,YEAR,PAX,MOVEMENTS,CARGO (KG)
433,VITORIA,9,2010,1927,502,2172491
434,ZARAGOZA,9,2010,56954,1160,3640700
435,A CORUÑA,10,2010,99140,1483,18127
436,ADOLFO SUAREZ MADRID-BARAJAS,10,2010,4464195,37795,35088852
437,ALBACETE,10,2010,958,121,0
438,ALGECIRAS-HELIPUERTO,10,2010,1956,238,0
439,ALICANTE-ELCHE,10,2010,955434,7211,272955
440,ALMERIA,10,2010,62387,1329,2642
441,ASTURIAS,10,2010,121571,1576,15300
442,BADAJOZ,10,2010,4805,258,0
443,BARCELONA-EL PRAT J.T.,10,2010,2798661,25667,9203111
444,BILBAO,10,2010,338944,4641,234306
445,BURGOS,10,2010,3738,330,0
446,CEUTA-HELIPUERTO,10,2010,3485,402,53
447,CORDOBA,10,2010,474,571,0
448,EL HIERRO,10,2010,15476,380,13020
449,FGL GRANADA-JAEN,10,2010,83827,1163,2782
450,FUERTEVENTURA,10,2010,389719,3487,138405
451,GIRONA-COSTA BRAVA,10,2010,451421,3823,7635
452,GRAN CANARIA,10,2010,825599,8686,2367658
453,HUESCA-PIRINEOS,10,2010,8,553,0
454,IBIZA,10,2010,357956,4403,249811
455,JEREZ DE LA FRONTERA,10,2010,100952,2943,9142
456,LA GOMERA,10,2010,3005,168,1054
457,LA PALMA,10,2010,84524,1645,73820
458,LANZAROTE-CESAR MANRIQUE,10,2010,441077,4011,379593
459,LEON,10,2010,8606,418,405
460,LOGROÑO,10,2010,1906,284,0
461,MADRID-CUATRO VIENTOS,10,2010,57,4144,0
462,MADRID-TORREJON,10,2010,2562,1102,0
463,MALAGA-COSTA DEL SOL,10,2010,1278713,10210,282404
464,MELILLA,10,2010,24659,800,29398
465,MENORCA,10,2010,171681,2154,187540
466,MURCIA-SAN JAVIER,10,2010,145750,1330,221
467,PALMA DE MALLORCA,10,2010,2054595,17009,1517493
468,PAMPLONA,10,2010,29304,1065,4970
469,REUS,10,2010,145990,2485,81527
470,SABADELL,10,2010,0,3257,0
471,SALAMANCA,10,2010,2914,1062,0
472,SAN SEBASTIAN,10,2010,27162,853,1505
473,SANTIAGO-ROSALIA DE CASTRO,10,2010,201988,1846,157476
474,SEVE BALLESTEROS-SANTANDER,10,2010,94571,1435,0
475,SEVILLA,10,2010,379075,4628,433414
476,SON BONET,10,2010,0,993,0
477,TENERIFE NORTE-C. LA LAGUNA,10,2010,368309,5301,1589168
478,TENERIFE SUR,10,2010,685869,4560,381858
479,VALENCIA,10,2010,430670,6687,1002820
480,VALLADOLID,10,2010,46541,1008,7873
481,VIGO,10,2010,100786,1324,86590
482,VITORIA,10,2010,2541,445,2203094
483,ZARAGOZA,10,2010,54380,1180,3848607
484,A CORUÑA,11,2010,86940,1330,19408
485,ADOLFO SUAREZ MADRID-BARAJAS,11,2010,3871315,35744,34981947
486,ALBACETE,11,2010,1092,127,0
487,ALGECIRAS-HELIPUERTO,11,2010,1943,246,0
488,ALICANTE-ELCHE,11,2010,579049,4776,251623
489,ALMERIA,11,2010,47451,1085,1480
490,ASTURIAS,11,2010,111869,1360,9015
491,BADAJOZ,11,2010,4967,229,0
492,BARCELONA-EL PRAT J.T.,11,2010,2320268,23373,9058294
493,BILBAO,11,2010,300427,4218,235549
494,BURGOS,11,2010,2250,202,0
495,CEUTA-HELIPUERTO,11,2010,3507,410,44
496,CORDOBA,11,2010,432,496,0
497,EL HIERRO,11,2010,12815,308,9968
498,FGL GRANADA-JAEN,11,2010,72374,1012,4047
499,FUERTEVENTURA,11,2010,358561,3325,146376
500,GIRONA-COSTA BRAVA,11,2010,209538,2403,9279
501,GRAN CANARIA,11,2010,871723,9005,2255702
502,HUESCA-PIRINEOS,11,2010,0,340,0
503,IBIZA,11,2010,116213,2021,174910
504,JEREZ DE LA FRONTERA,11,2010,57650,2242,4842
